"RegiÒo de Sa·de (CIR)";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"35011 Alto do TietÛ";39314928;40719285;43543726;46186923;46393073;48726933;55457328;48921790;51230314;53913808;48332385;46597563;569338056
"35012 Franco da Rocha";10144582;9190218;9082368;9444516;9891855;10214706;11012157;10894496;11536410;12496784;10408427;9766931;124083450
"35013 Mananciais";15864340;16546480;18479213;18541775;17672275;16379256;18960954;22143737;19642139;20041539;18392858;16181385;218845951
"35014 Rota dos Bandeirantes";31590484;36227929;37408142;41285982;41231138;42296629;43708950;45438836;44016573;50619968;51906639;48124134;513855404
"35015 Grande ABC";45095471;45476121;46992669;51437565;53299781;54611874;56286401;57546793;59058570;61151143;56695802;53793081;641445271
"35016 SÒo Paulo";242407089;277124183;279412561;289079338;299753590;305824244;314366160;318539787;327264600;335701003;344642675;326663199;3660778429
"35021 Central do DRS II";7206510;9786066;9043344;8683736;10020024;9693006;12516632;13782433;12456274;14371011;14763577;13935843;136258456
"35022 Lagos do DRS II";2167370;2984366;3137095;3241982;3307100;3444649;3554740;3559530;3985263;3398392;3612690;3398298;39791475
"35023 Cons¾rcios do DRS II";3965949;4792596;4713735;3888643;4177313;3879771;4138003;3989383;3636355;3795115;4173239;4220567;49370669
"35031 Central do DRS III";6358434;7649844;7935432;8631761;9634785;10949200;11541584;11505347;12292033;13356735;13380770;13007994;126243919
"35032 Centro Oeste do DRS III";1121658;1320535;1806191;1566620;1568839;2334927;1684921;1480219;1486137;1381406;1162431;1423078;18336962
"35033 Norte do DRS III";2381906;2792434;3019217;3491839;3039129;2634028;2877391;1986219;2022405;2006305;1847615;1735823;29834311
"35034 CoraþÒo do DRS III";5209318;6052988;5404961;6215215;4732963;5408829;5280757;4913792;5078722;4903640;4651077;4619510;62471772
"35041 Baixada Santista";32766433;37616989;37668967;39836903;37763561;40987118;43200460;46216614;45633733;45481162;41219318;38942033;487333291
"35051 Norte - Barretos";9269316;10745418;10791344;12740996;12160272;12768337;12833398;14519834;14936997;16096565;15989480;15733889;158585846
"35052 Sul - Barretos";3301672;3302563;2414000;2491611;2376318;2414501;3261203;3698963;2788385;3187218;2485862;2222371;33944667
"35061 Vale do Jurumirim";4610542;4720653;4696206;4822939;3773732;4354301;4553419;7339136;5804720;5799921;4942824;3524811;58943204
"35062 Bauru";15182758;18563291;17824752;17768514;18043852;18045753;19538477;20831388;21375114;22550035;21122146;19818289;230664369
"35063 Polo Cuesta";10078781;11289108;10435765;11250329;11770979;12058815;13595243;14017268;14228201;16119513;16668330;15432798;156945130
"35064 Ja·";4364687;5643006;4613382;4283738;6803322;5433346;5284622;6417449;5681299;6497739;5259211;4955774;65237575
"35065 Lins";2082138;1741113;2329543;2240229;2017779;2607900;2118578;2398508;2349394;2821454;1824502;2092232;26623370
"35071 Braganþa";4777290;5799516;5189884;5603236;5744773;6010176;6320378;6585262;6685646;6803614;5725369;5654226;70899370
"35072 Reg Metro Campinas";55840787;65676524;63883165;66891550;67595777;75783056;83576925;80357139;83287674;83464238;81637544;73038292;881032671
"35073 JundiaÝ";7860078;8797821;9105357;9121687;9633467;11021732;12183786;10881037;11272777;13578267;11472586;11194621;126123216
"35074 Circuito das -guas";2276870;2689933;5576514;3462831;2543801;4162976;2890671;2443652;2368423;2000670;3911570;2230285;36558196
"35081 TrÛs Colinas";7162717;9338165;9998109;9626015;10715039;10883303;12704063;11676996;13374621;16048002;14766086;15473538;141766654
"35082 Alta Anhanguera";2199452;2341887;2201233;2243567;2117894;1961253;1833736;2192698;2334512;2672778;4745931;2755060;29600001
"35083 Alta Mogiana";2221950;1929664;2429256;3997775;1718639;2566657;2759512;2861826;2966031;2708260;2121372;2839193;31120135
"35091 Adamantina";2352106;2023193;2047382;2123505;2793451;2913212;2385160;2643222;2618720;2965226;2852716;2706705;30424598
"35092 Assis";10324349;10995831;8158448;10089444;10057527;9644648;11517646;10239039;9612237;9971096;9248123;8777684;118636072
"35093 MarÝlia";10620722;12861939;12624619;11865409;12816088;13226633;14147227;12898434;13554392;15190343;13633696;13283281;156722783
"35094 Ourinhos";4286990;4363529;4294081;4887702;5531593;4712633;4391806;4573685;4416890;4302165;4242005;3911633;53914712
"35095 TupÒ";2458990;3130727;2516195;3010246;3015473;2777696;2818169;2345214;2627227;3645857;2425552;2275836;33047182
"35101 Araras";3779391;4355027;4884267;4542523;5560801;4546748;5221100;9291998;5254172;5569220;5520627;4995931;63521805
"35102 Limeira";2990141;3063420;3639421;3971958;4147587;4317461;4447646;4923780;5922901;5203926;4606259;4428124;51662624
"35103 Piracicaba";9978566;13229950;12548791;13884984;14811258;15227527;17619763;19082311;21246095;22397301;22643470;22869129;205539145
"35104 Rio Claro";3269908;3345994;3755299;3167698;3537612;3347373;3029210;4407597;3308489;3360926;3266500;3293406;41090012
"35111 Alta Paulista";2254067;2262756;2414794;4667174;3132623;2519715;2702993;2983323;3933008;3359113;3175454;2649950;36054970
"35112 Alta Sorocabana";12316016;14011757;13842828;14649662;14218049;15472668;18888643;17887060;16507521;16642580;14541270;13721532;182699586
"35113 Alto Capivari";1027586;1165783;1301953;1130059;1185862;1102610;1399331;1199934;1140101;1206769;977674;853885;13691547
"35114 Extremo Oeste Paulista";1123943;1182299;1196737;1220856;1299193;1393290;1333027;1448207;1447350;1467214;1355440;1165156;15632712
"35115 Pontal do Paranapanema";1159520;1341736;1408078;1585569;1486700;1677925;1515435;1533329;1493365;1707045;1507050;1442774;17858526
"35121 Vale do Ribeira";5186455;6535577;7429838;8833338;7300980;9079118;10200560;8276628;9142158;7296002;6336506;6342699;91959859
"35131 Horizonte Verde";5992621;5581403;5460753;5808189;6471681;7074345;6265515;6264971;6086646;7815960;7100953;6687225;76610262
