"Unidade da Federaчуo";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"2027";"2028";"2029";"2030"
"11 Rondєnia";1401535;1431048;1459811;1487850;1515151;1541715;1567546;1592640;1616992;1640607;1663490;1685697;1707272;1728214;1748531;1768204;1787279;1805788;1823741;1841142;1857992;1874318;1890155;1905483;1920296;1934569;1948295;1961483;1974114;1986163;1997617
"12 Acre";587407;602009;616781;631650;646548;661427;676252;690997;705635;720132;734447;748616;762631;776463;790101;803513;816687;829619;842290;854691;866811;878654;890220;901494;912480;923171;933580;943714;953573;963154;972464
"13 Amazonas";2872524;2946727;3021363;3096127;3170740;3244995;3318679;3391594;3463562;3534456;3604165;3672969;3740976;3807921;3873743;3938336;4001667;4063614;4124033;4182899;4240210;4295846;4349811;4402267;4453233;4502713;4550668;4597105;4642138;4685782;4728027
"14 Roraima";336829;351178;365275;379035;392392;405273;417634;429406;440533;450969;460678;469943;479073;488072;496936;505665;514229;522636;530879;538963;546891;554663;562288;569760;577080;584261;591301;598202;604960;611583;618057
"15 Parс";6386876;6516683;6646479;6775865;6904392;7031660;7157305;7281011;7402515;7521656;7638340;7751993;7862333;7969654;8073924;8175113;8272724;8366628;8457229;8544639;8628901;8710364;8789130;8864989;8938000;9008231;9075990;9141350;9204104;9264288;9321910
"16 Amapс";499330;519202;538836;558398;577786;596914;615692;634068;651977;669360;686189;702638;718906;734996;750912;766679;782295;797722;812961;828028;842914;857634;872187;886586;900828;914915;928861;942678;956359;969906;983304
"17 Tocantins";1186153;1211273;1236171;1260783;1285028;1308824;1332107;1354808;1376898;1398334;1419100;1439275;1458965;1478164;1496880;1515126;1532902;1550194;1567016;1583391;1599316;1614821;1629925;1644621;1658908;1672792;1686276;1699376;1712069;1724357;1736235
"21 Maranhуo";5794912;5879264;5964486;6049974;6135099;6219144;6301445;6381473;6458789;6533027;6603880;6670977;6734353;6794301;6850884;6904241;6954036;7000229;7043339;7083578;7121156;7156431;7189442;7220006;7248192;7274092;7298052;7320150;7340209;7358319;7374604
"22 Piauэ";2877450;2912304;2945649;2977378;3007333;3035330;3061253;3085026;3106597;3125918;3142946;3158000;3171456;3183404;3193956;3203262;3211411;3218485;3224536;3229651;3233891;3237279;3239829;3241530;3242397;3242491;3241853;3240499;3238443;3235703;3232330
"23 Cearс";7601788;7718435;7830721;7938714;8042368;8141584;8236289;8326445;8412055;8493155;8569783;8642630;8712413;8779338;8843553;8905225;8964432;9021232;9075744;9128090;9178363;9226629;9272899;9317120;9359246;9399260;9437126;9472791;9506193;9537296;9566063
