"RegiÒo de Sa·de (CIR)";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"35011 Alto do TietÛ";1098252;1143253;1198039;1253016;1307849;1362504;1416644;1470013;1522279;1573191;1622871;1680055;1746101;1777815;1805280;1832087;2044173;2133839;2209226;2284848;2306607;2379821;2438429;2499624;2560633;2699145;2769700;2839657;2765649;2810359;2663739;2691157;2717672
"35012 Franco da Rocha";153969;163885;175957;188069;200152;212194;224124;235883;247397;258616;269563;282162;295263;299762;304387;308909;354394;369955;383073;396268;423953;439327;453782;467636;481439;512790;528753;544583;511191;519696;517675;524870;531829
"35013 Mananciais";350412;368849;391298;413824;436289;458681;480865;502731;524145;545005;565360;588789;611904;628975;638698;648174;716225;746327;771674;797190;812236;836485;859250;881079;902828;952230;977391;1002337;960279;974620;986998;1000415;1013390
"35014 Rota dos Bandeirantes";840101;867825;901634;935559;969395;1003121;1036531;1069461;1101715;1133132;1163789;1199076;1236377;1257021;1276443;1295386;1404723;1453124;1493896;1534960;1546933;1586233;1620121;1654089;1687971;1764868;1804035;1842874;1804677;1829553;1710732;1723308;1735470
"35015 Grande ABC";1652794;1683394;1720676;1758085;1795397;1832589;1869430;1905748;1941311;1975954;2009761;2048674;2080358;2116579;2149299;2181190;2223352;2268858;2306559;2343275;2354722;2387062;2419115;2449008;2478802;2546468;2580923;2615092;2584015;2605266;2551328;2566690;2581544
"35016 SÒo Paulo";8493217;8582358;8690950;8799908;8908559;9016877;9124164;9229936;9333514;9434408;9532859;9646185;9681178;9842058;9994168;10142505;9839066;9887616;9928219;9968485;10434252;10499133;10600059;10677017;10753768;10927985;11016708;11104715;10990249;11037590;11253503;11316119;11376685
"35021 Central do DRS II";192996;196154;199992;203843;207683;211512;215305;219042;222703;226271;229749;233755;235959;241004;244730;248352;245911;249890;252473;255064;255967;258538;260450;262523;264586;269300;271697;274072;277104;279046;278351;280076;281738
"35022 Lagos do DRS II";157344;158403;159776;161154;162527;163895;165251;166587;167897;169172;170416;171848;172537;174997;177726;180359;175642;176713;177630;178536;179121;179989;180654;181365;182076;183684;184496;185303;189557;190450;190489;191367;192212
"35023 Cons¾rcios do DRS II";159359;161890;165012;168142;171268;174381;177464;180506;183482;186383;189212;192470;195243;198899;201987;204958;207757;212608;216673;220790;221999;225562;228205;231110;233983;240507;243815;247114;252197;255074;250483;252679;254793
"35031 Central do DRS III";160677;164892;170037;175199;180350;185482;190567;195579;200487;205269;209935;215305;218157;224495;227964;231344;231033;235261;238670;241820;250891;255018;258393;261858;265316;273201;277208;281163;275087;277340;285700;288377;290959
"35032 Centro Oeste do DRS III";79264;80835;82748;84667;86582;88490;90381;92244;94070;95847;97581;99578;101491;102995;104581;106143;110128;112580;114629;116705;117860;120054;121699;123493;125278;129317;131372;133406;131706;133000;131724;132790;133820
"35033 Norte do DRS III";83928;87117;91024;94944;98854;102751;106613;110417;114145;117775;121319;125396;126965;131714;133761;135737;134044;136408;138397;140394;139179;140822;142077;143432;144774;147816;149373;150924;149553;150491;146949;147548;148124
